Date,Close,Date,High,Date,Low,Date,Open
14/09/2020 16:00:00,75.44,14/09/2020 16:00:00,77.85,14/09/2020 16:00:00,75.26,14/09/2020 16:00:00,76.58
15/09/2020 16:00:00,76.76,15/09/2020 16:00:00,77.55,15/09/2020 16:00:00,76.11,15/09/2020 16:00:00,76.39
16/09/2020 16:00:00,75.6,16/09/2020 16:00:00,77.72,16/09/2020 16:00:00,75.58,16/09/2020 16:00:00,77.12
17/09/2020 16:00:00,74.35,17/09/2020 16:00:00,74.93,17/09/2020 16:00:00,73.12,17/09/2020 16:00:00,74.29
18/09/2020 16:00:00,72.55,18/09/2020 16:00:00,74.76,18/09/2020 16:00:00,71.58,18/09/2020 16:00:00,74.42
21/09/2020 16:00:00,71.51,21/09/2020 16:00:00,72,21/09/2020 16:00:00,70.13,21/09/2020 16:00:00,71.58
22/09/2020 16:00:00,72.99,22/09/2020 16:00:00,73.2,22/09/2020 16:00:00,71.47,22/09/2020 16:00:00,72.52
23/09/2020 16:00:00,70.47,23/09/2020 16:00:00,72.65,23/09/2020 16:00:00,70.13,23/09/2020 16:00:00,72.6
24/09/2020 16:00:00,71.14,24/09/2020 16:00:00,71.9,24/09/2020 16:00:00,70.11,24/09/2020 16:00:00,70.13
25/09/2020 16:00:00,71.95,25/09/2020 16:00:00,72.3,25/09/2020 16:00:00,70.38,25/09/2020 16:00:00,71.25
28/09/2020 16:00:00,72.93,28/09/2020 16:00:00,73.65,28/09/2020 16:00:00,72.31,28/09/2020 16:00:00,73.6
29/09/2020 16:00:00,73.3,29/09/2020 16:00:00,73.6,29/09/2020 16:00:00,72.7,29/09/2020 16:00:00,73.2
30/09/2020 16:00:00,73.28,30/09/2020 16:00:00,74.31,30/09/2020 16:00:00,72.79,30/09/2020 16:00:00,73.05
01/10/2020 16:00:00,74.4,01/10/2020 16:00:00,74.75,01/10/2020 16:00:00,73.84,01/10/2020 16:00:00,74.18
02/10/2020 16:00:00,72.78,02/10/2020 16:00:00,73.95,02/10/2020 16:00:00,72.37,02/10/2020 16:00:00,72.98
05/10/2020 16:00:00,74.14,05/10/2020 16:00:00,74.24,05/10/2020 16:00:00,73,05/10/2020 16:00:00,73.13
06/10/2020 16:00:00,72.55,06/10/2020 16:00:00,74.23,06/10/2020 16:00:00,72.25,06/10/2020 16:00:00,73.78
07/10/2020 16:00:00,72.96,07/10/2020 16:00:00,73.45,07/10/2020 16:00:00,71.66,07/10/2020 16:00:00,72.97
08/10/2020 16:00:00,74.17,08/10/2020 16:00:00,74.4,08/10/2020 16:00:00,73.27,08/10/2020 16:00:00,73.27
09/10/2020 16:00:00,75.52,09/10/2020 16:00:00,75.59,09/10/2020 16:00:00,74.35,09/10/2020 16:00:00,74.64
12/10/2020 16:00:00,78.23,12/10/2020 16:00:00,79.42,12/10/2020 16:00:00,76.47,12/10/2020 16:00:00,76.9
13/10/2020 16:00:00,78.35,13/10/2020 16:00:00,79.26,13/10/2020 16:00:00,77.93,13/10/2020 16:00:00,78.85
14/10/2020 16:00:00,78.17,14/10/2020 16:00:00,79.19,14/10/2020 16:00:00,77.29,14/10/2020 16:00:00,78.73
15/10/2020 16:00:00,77.77,15/10/2020 16:00:00,78.57,15/10/2020 16:00:00,77.06,15/10/2020 16:00:00,77.22
16/10/2020 16:00:00,78.39,16/10/2020 16:00:00,78.89,16/10/2020 16:00:00,77.88,16/10/2020 16:00:00,78.09
19/10/2020 16:00:00,76.5,19/10/2020 16:00:00,79.2,19/10/2020 16:00:00,76.15,19/10/2020 16:00:00,78.8
20/10/2020 16:00:00,77.55,20/10/2020 16:00:00,78.69,20/10/2020 16:00:00,76.03,20/10/2020 16:00:00,76.16
